correlation,lag,start_time,Template_Name,Audio_File
0.20550896,-714993,163.49233560090704,template_5,sample_audio/test_dset_2.wav
0.20548257,-714131,163.53142857142856,template_5,sample_audio/test_dset_2.wav
0.20546165,-714634,163.50861678004534,template_5,sample_audio/test_dset_2.wav
0.20543821,-714809,163.50068027210884,template_5,sample_audio/test_dset_2.wav
0.20531023,-714128,163.53156462585034,template_5,sample_audio/test_dset_2.wav
0.2052828,-714811,163.500589569161,template_5,sample_audio/test_dset_2.wav
0.20526232,-714483,163.51546485260772,template_5,sample_audio/test_dset_2.wav
0.20515598,-714988,163.49256235827664,template_5,sample_audio/test_dset_2.wav
0.2050111,-714990,163.49247165532879,template_5,sample_audio/test_dset_2.wav
0.20454785,-714991,163.49242630385487,template_5,sample_audio/test_dset_2.wav
